ability|능력
allow|허락하다
amaze|놀라게 하다
ancient|고대의
angle|각도, 관점
audience|청중
award|상, 수여하다
awful|끔찍한
background|배경
basis|기초
alignment|정렬, (정치적) 연합
bet|돈을 걸다
bury|묻다
cause|원인, 야기하다
certain|확실한, 어떤
challenge|도전
cheat|속이다
cheerful|쾌활한
communicate|의사소통하다
congratulate|축하하다
connect|연결하다
consider|고려하다
contact|연락하다
court|법정, 경기장
curiosity|호기심
customer|고객
damage|손상
deadline|마감 시간
drag|끌다
duty|의무
embarrassed|당황한
environment|환경
eventually|결국
exactly|정확히
failure|실패
female|여성
flavor|맛, 풍미
flow|흐르다
fold|접다
forgive|용서하다
form|형태, 형성하다
fortune|운, 재산
fuel|연료
furthermore|게다가
gain|얻다
genius|천재
global|세계적인
heal|치료하다
hire|고용하다
injure|부상을 입히다
lately|최근에
legend|전설
lift|들어올리다
literature|문학
local|지역의
lonely|외로운
mate|짝, 동료
movement|움직임
mysterious|신비로운
native|원주민의, 타고난
nod|끄덕이다
offer|제공하다
official|공식적인, 관리
opinion|의견
ordinary|평범한
pile|더미, 쌓다
planet|행성
plant|식물, 공장
poetry|시
possibility|가능성
pour|붓다
praise|칭찬하다
precious|귀중한
previous|이전의
process|과정, 처리하다
quest|탐구
rank|계급, 순위를 매기다
recently|최근에
recommend|추천하다
record|기록, 녹음하다
relationship|관계
relax|휴식하다
request|요청하다
return|돌아오다, 반환하다
review|복습하다, 재검토하다
risk|위험
root|뿌리
rough|거친
scare|겁주다
scream|비명 지르다
shade|그늘
shelf|선반
similar|비슷한
sink|가라앉다
situation|상황
spin|회전하다
survival|생존
switch|전환하다
systematic|체계적인
task|일, 과업
thick|두꺼운
tradition|전통
trend|경향
unique|독특한
warn|경고하다
weigh|무게가 나가다
whisper|속삭이다
participate|참여하다
locate|위치를 찾아내다
accept|받아들이다
ignore|무시하다
essential|필수적인
limit|한계, 제한하다
behave|행동하다
argue|논쟁하다
occur|발생하다
explore|탐험하다
active|활동적인
likewise|마찬가지로
admit|인정하다
evidence|증거
differ|다르다
conclude|결론짓다
determine|결정하다
available|이용할 수 있는
describe|묘사하다
public|대중의
separate|분리하다
expectation|예상
innocent|무죄인, 순진한
national|국가의
depend|의존하다
duration|지속 기간
general|일반적인, 장군
introduce|소개하다
latter|후자의
advise|조언하다
decorate|장식하다
enable|가능하게 하다
decade|10년
aware|알고 있는
react|반응하다
tend|~하는 경향이 있다
intend|의도하다
equipment|장비
respond|대답하다
realistic|현실적인
steady|꾸준한
vary|다르다
alarm|경보
constant|끊임없는
deserve|~할 가치가 있다
generate|발생시키다
package|포장, 소포
analyze|분석하다
identify|확인하다
emphasize|강조하다
detail|세부사항
clue|단서
absolute|절대적인
option|선택권
guard|경비원, 보호하다
emergency|응급상황
addict|중독자
owe|빚지고 있다
recall|회상하다
condition|조건, 상태
delay|지연시키다
compose|구성하다, 작곡하다
cancel|취소하다
slip|미끄러지다
triumph|승리
region|지역
pose|제기하다, 자세
surface|표면
predict|예측하다
pure|순수한
seek|찾다
instant|즉각적인
dramatic|극적인
guarantee|보장하다
fulfill|이행하다
substance|물질
identical|동일한
independent|독립적인
casual|격식을 차리지 않은
status|지위
expose|노출시키다
concept|개념
summarize|요약하다
memorize|암기하다
precise|정확한
trap|함정
trick|속임수
isolate|고립시키다
spare|여분의, 할애하다
reproduce|번식하다, 복제하다
apparent|분명한
reject|거절하다
component|구성 요소
breakdown|고장, 붕괴
universal|보편적인
awaken|깨우다
await|기다리다
transform|변형시키다
majority|대다수
minority|소수
additional|추가적인
worthwhile|가치 있는
stretch|늘이다
fame|명성
handle|다루다, 손잡이
refresh|상쾌하게 하다
contrary|반대의
disagree|동의하지 않다
defend|방어하다
devise|고안하다
revise|수정하다
framework|틀, 뼈대
qualify|자격을 얻다
assure|장담하다
storage|저장
nevertheless|그럼에도 불구하고
dust|먼지
debate|토론하다
likely|~할 것 같은
lessen|줄이다
objective|객관적인, 목표
subjective|주관적인
simplicity|단순함
track|추적하다, 궤도
sufficient|충분한
obligation|의무
spoil|망치다
gaze|응시하다
glance|흘끗 보다
document|문서
interfere|간섭하다
strive|노력하다
unify|통일하다
fancy|화려한
union|결합, 노동조합
mobile|이동하는
feedback|피드백
bounce|튀다
vital|필수적인
examine|조사하다
resource|자원
abstract|추상적인
permit|허락하다
acknowledge|인정하다
satisfy|만족시키다
fasten|매다, 고정하다
medium|매체, 중간의
activate|활성화하다
greet|인사하다
intimate|친밀한
opponent|상대, 반대자
victim|희생자
versus|~대
via|~을 통하여
ease|쉬움, 완화시키다
dash|돌진하다
soak|적시다
chamber|방, 회의실
expel|추방하다
session|기간, 회의
ensure|보장하다
